Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),ZONE ONE PEOPLE:People Total Heating Rate [W](Hourly),SPACE1-1 LIGHTS 1:Lights Total Heating Rate [W](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE ONE:Zone Air Relative Humidity [%](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Elevated Air Speed Cooling Effect [C](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Elevated Air Speed Cooling Effect Adjusted PMV [](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Elevated Air Speed Cooling Effect Adjusted PPD [](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Ankle Draft PPD [](Hourly),ZONE ONE:Zone Heat Index [C](Hourly),ZONE ONE:Zone Humidity Index [](Hourly) 
 01/31  23:00:00,19.8875,0.013474521089827439,84.25,92284.625,75.00245425188375,79.2,30.3342711578595,0.0306069576459229,100.0,2.468571244186302,92.73507822658758,38.56080493736857,0.506591796875,2.3572807477079047,89.93238890168053,-1.0,45.8312701797402,49.40798875135664 
 01/31  24:00:00,20.125,0.014227595578527584,87.5,92226.5,75.00245425188375,79.2,30.06177317574831,0.03012931742378224,100.0,2.394432449111789,90.94747593161937,38.27990988664308,0.51422119140625,2.2837075549844603,87.74505016567497,-1.0,44.62995137461128,48.7433323371365 
 07/01  01:00:00,15.850000000000001,0.00970514008024533,79.375,92148.0,0.0,79.2,26.283006878482812,0.02397396964107426,100.0,0.6604573949141065,14.231442462479905,29.393795925212785,0.56610107421875,0.5675773460658606,11.815066607906836,9.533132719802888,27.57797423299776,40.07236798877576 
 07/01  02:00:00,13.6,0.009906773129159696,92.75,92148.0,0.0,79.2,25.7875495510304,0.02325526162911263,100.0,0.4897883528467133,10.04193158633652,28.49310333704457,0.57220458984375,0.40064891823325444,8.372397788652886,11.298980622190069,27.032971172800103,39.00506055986517 
 07/01  03:00:00,13.662499999999998,0.009729846080209287,90.75,92148.0,0.0,79.2,25.45116934588457,0.022778735041971494,100.0,0.3713398703965588,7.891261361906825,27.88081321376151,0.5767822265625,0.2861744739899878,6.7199209214755555,12.682738715502119,26.662952947139694,38.2891762931824 
 07/01  04:00:00,13.7,0.009535829066689792,88.75,92148.0,0.0,79.2,25.143401385554192,0.02235067918473762,100.0,0.2620118177629144,6.444547194027354,27.32204637184543,0.5767822265625,0.18124657827201915,5.698585547449227,14.083525253146787,26.32440819077629,37.640271484230354 
 07/01  05:00:00,13.95,0.009472459876728782,86.75,92148.0,0.0,79.2,24.85413820534822,0.02195500950689962,100.0,0.16084990384495504,5.550536694052653,26.81123075694288,0.5767822265625,0.08429879629009658,5.16026348621002,15.485828733108143,26.006218692549716,37.03549086343443 
 07/01  06:00:00,14.4125,0.009608379832816795,85.375,92148.0,0.0,79.2,24.610707217592154,0.02162696399103325,100.0,0.07800008005864019,5.135025503945432,26.393331663684123,0.5767822265625,0.004147837083933127,5.008562686295036,16.743581371439976,25.738444606018042,36.53032940043753 
 07/01  07:00:00,14.1625,0.009549902858478879,86.25,92148.0,150.0049085037675,79.2,24.438270814127463,0.02138816755615433,99.95879925286478,0.01701688256786202,5.010390901325913,26.089351228244382,0.5767822265625,-0.054032458855015245,5.064238602789477,17.70792484281993,25.54768876492057,36.16729142890391 
 07/01  08:00:00,14.5875,0.00954444281372066,83.875,92148.0,300.009817007535,79.2,24.734918298204146,0.02140446713138882,98.27723571611352,0.14318557867418247,5.483791395633901,26.678352614253292,0.59051513671875,0.0660435415588112,5.141790835538952,15.792319441531742,25.830093505056414,36.47695196327823 
